
"id","case_number","date","block","iucr","primary_type","description","location_description","arrest","domestic","beat","district","ward","community_area","fbi_code","x_coordinate","y_coordinate","year","updated_on","latitude","longitude","location","location_address","location_city","location_state","location_zip",":@computed_region_awaf_s7ux",":@computed_region_6mkv_f3dw",":@computed_region_vrxf_vc4k",":@computed_region_bdys_3d7i",":@computed_region_43wa_7qmu",":@computed_region_rpca_8um6",":@computed_region_d9mm_jgwp",":@computed_region_d3ds_rm58"
"11839862","JC447263","2019-09-24T22:45:00.000","051XX W CHICAGO AVE","1811","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","SIDEWALK","true","false","1531","015","37","25","18","1141746","1904840","2019","2019-10-01T16:20:30.000","41.894948258","-87.754856588","POINT (-87.754856588 41.894948258)","","","","","4","4299","26","585","45","5","25","69"
"11839958","JC447281","2019-09-24T22:45:00.000","035XX W MONTROSE AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","1723","017","35","16","08B","1152130","1929017","2019","2019-10-01T16:20:30.000","41.961093513","-87.716079396","POINT (-87.716079396 41.961093513)","","","","","2","21538","16","24","12","39","1","9"
"11839968","JC447282","2019-09-24T22:44:00.000","037XX W DOUGLAS BLVD","0810","THEFT","OVER $500","APARTMENT","false","true","1011","010","24","29","06","1151826","1893202","2019","2019-10-01T16:20:30.000","41.862819868","-87.718141518","POINT (-87.718141518 41.862819868)","","","","","36","21569","30","33","14","57","21","155"
"11839879","JC447289","2019-09-24T22:40:00.000","061XX S WESTERN AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","RESTAURANT","false","false","0825","008","16","66","14","1161421","1863984","2019","2019-10-01T16:20:30.000","41.782448202","-87.683730159","POINT (-87.683730159 41.782448202)","","","","","44","22257","64","111","2","58","13","274"
"11839884","JC447298","2019-09-24T22:40:00.000","067XX S PULASKI RD","2022","NARCOTICS","POSS: COCAINE","PARKING LOT/GARAGE(NON.RESID.)","true","false","0833","008","13","65","18","1150868","1859387","2019","2019-10-01T16:20:30.000","41.770045562","-87.722540591","POINT (-87.722540591 41.770045562)","","","","","23","21867","63","317","15","58","13","209"
"11840051","JC447449","2019-09-24T22:35:00.000","073XX S COLES AVE","0820","THEFT","$500 AND UNDER","STREET","false","false","0334","003","7","43","06","1194889","1857049","2019","2019-10-01T16:20:30.000","41.762658744","-87.561256801","POINT (-87.561256801 41.762658744)","","","","","43","22538","39","421","37","24","18","213"
"11839903","JC447278","2019-09-24T22:33:00.000","048XX N KEDZIE AVE","0520","ASSAULT","AGGRAVATED:KNIFE/CUTTING INSTR","RESTAURANT","false","false","1713","017","33","14","04A","1154172","1931913","2019","2019-10-01T16:20:30.000","41.968999706","-87.708494241","POINT (-87.708494241 41.968999706)","","","","","28","21849","14","750","20","20","1","1"
"11846572","JC455353","2019-09-24T22:30:00.000","064XX S KEDZIE AVE","0460","BATTERY","SIMPLE","ALLEY","false","false","0823","008","17","66","08B",,,"2019","2019-10-01T16:20:30.000",,,,,,,,,,,,,,,
"11840332","JC447506","2019-09-24T22:30:00.000","084XX S KEDZIE AVE","0610","BURGLARY","FORCIBLE ENTRY","BARBERSHOP","false","false","0834","008","18","70","05","1156514","1848588","2019","2019-10-01T16:20:30.000","41.740299499","-87.702134948","POINT (-87.702134948 41.740299499)","","","","","6","4300","69","198","30","8","13","232"
"11840555","JC447845","2019-09-24T22:27:00.000","009XX E 100TH PL","2825","OTHER OFFENSE","HARASSMENT BY TELEPHONE","RESIDENCE","false","false","0511","005","8","50","26","1184416","1838276","2019","2019-10-01T16:20:30.000","41.711395123","-87.600227548","POINT (-87.600227548 41.711395123)","","","","","9","21861","47","643","35","19","10","250"
